Name,Date,Likes,Views,Comments
Dreamcatcher,2019-09-09,122843,3870989,6029
WeGirls,2019-09-09,8647,331733,632
FTISLAND,2019-09-09,31410,787789,1758
CLC,2019-09-06,735877,23126989,46870
"Choa, Way",2019-09-05,4895,75958,304
Wheein,2019-09-04,247572,5845520,11181
VANNER,2019-09-03,18630,163069,920
Momoland,2019-09-02,116725,5710303,12748
M.O.N.T,2019-09-02,20469,156861,994
W Project,2019-09-02,151984,2136900,11359
Lalary,2019-08-29,103702,1154721,5407
Ravi,2019-08-29,24291,3006246,859
Benji (B.I.G),2019-08-28,32219,246583,11609
Onewe,2019-08-28,182847,4716444,10881
Crush,2019-08-28,137198,6146431,3757
Signal,2019-08-27,2035,22340,143
Fanxy Red,2019-08-27,67759,723680,3830
GIRLKIND XJR,2019-08-27,12526,223930,678
Sunmi,2019-08-27,623901,28745467,10371
X1,2019-08-27,1867930,122210790,254443
Peniel (BtoB),2019-08-27,41833,562534,2462
N.Cus,2019-08-26,27924,256097,1754
Jimin Park,2019-08-25,228725,3202538,9129
M.O.N.T,2019-08-25,10261,57739,741
VAV,2019-08-23,272889,10201802,10360
G-reyish,2019-08-22,14103,341552,1228
UP10TION,2019-08-22,121773,1729960,8689
Grizly X Chungha,2019-08-22,32431,602199,652
Oh Hayoung,2019-08-21,29662,549972,3122
IZ,2019-08-21,19705,95654,4642
Oh Hayoung,2019-08-21,81206,1809287,6648
Celeb Five,2019-08-20,40373,895532,2534
Everglow,2019-08-19,2663603,171977176,159218
The Boyz,2019-08-19,249523,14986485,8253
VIINI,2019-08-19,127021,1578258,5330
Target,2019-08-19,66516,708010,3139
Red Velvet,2019-08-19,1686972,50359079,122145
ANS,2019-08-16,3463,42417,263
Weki Meki,2019-08-13,219846,6467520,7973
M.O.N.T,2019-08-13,38683,441374,2746
Rocket Punch,2019-08-07,196745,4518235,13622
JBJ95,2019-08-06,59344,1409035,2186
FANATICS,2019-08-06,53735,1173174,2524
VENUS,2019-08-06,2048,59286,194
IN2IT,2019-08-06,48453,519695,3559
Pink Fantasy,2019-08-05,127891,1971346,15463
Seventeen,2019-08-05,1658198,85937022,118241
Oh My Girl,2019-08-05,170490,26182372,10164
TRCNG,2019-08-04,66102,716520,5821
Tiffany Young,2019-08-01,235465,8137537,12017
D1CE,2019-08-01,37485,446778,2393
W24,2019-07-31,16548,103296,1544
Red Velvet,2019-07-31,367277,5158800,10765
Ruann,2019-07-31,28763,825704,1960
Verivery,2019-07-31,102850,3901113,4929
Bang Yongguk,2019-07-31,46156,455538,3016
Peniel (BtoB),2019-07-31,51788,837309,3866
CatChuuuu,2019-07-30,3992,73420,717
Eden,2019-07-30,19564,308216,691
Busters,2019-07-30,47039,814510,4156
ITZY,2019-07-28,3741411,263880966,205697
Taemin,2019-07-26,510226,14181450,22757
Pentagon,2019-07-26,85788,2136287,2708
Park Boram,2019-07-26,4796,267971,984
NCT Dream,2019-07-25,3235214,161716945,224203
Kang Daniel,2019-07-25,1012495,22467399,67614
EXO-SC,2019-07-25,722724,8518904,33016
GWSN,2019-07-23,30829,621269,1486
CIX,2019-07-23,703205,23155507,41632
NCT 127,2019-07-22,1248035,49920279,52313
1TEAM,2019-07-22,25868,227382,1047
Dongkiz,2019-07-21,14516,179676,1098
EXO-SC,2019-07-21,1914686,33060273,208253
HYO,2019-07-20,101933,1295154,4300
EXO-SC,2019-07-19,444027,5667128,27656
N.Flying,2019-07-19,15201,271871,729
Eunki,2019-07-19,6949,58222,342
TVXQ!,2019-07-18,35667,2818417,2436
Taeyong,2019-07-18,937604,22481821,78346
Pentagon,2019-07-17,822196,26353832,26991
Norazo,2019-07-16,54619,4594763,12027
Flashe,2019-07-15,3284,55633,257
KNK,2019-07-15,128075,2061158,8006
MONSTA X,2019-07-15,387759,7562571,14153
WishGirls,2019-07-12,51180,1033949,3027
Lee Gaeun,2019-07-12,39500,425212,2252
USHN,2019-07-11,32435,490227,2147
(G)I-dle,2019-07-11,396818,8311776,10232
1TEAM,2019-07-11,24329,126436,1914
Baekhyun,2019-07-10,1894190,55438536,205191
Nature,2019-07-10,99371,3401664,4261
Limitless,2019-07-09,39466,438271,2045
ATEEZ,2019-07-08,149940,2075453,3613
Ha Sung Won,2019-07-08,147884,2521553,5366
Heize,2019-07-07,1034250,30602621,36952
Honey Popcorn,2019-07-05,44492,1186575,4794
BTS,2019-07-02,5218344,160131401,326545
Winner,2019-07-02,46564,564624,1040
Ailee,2019-07-02,485931,11894526,19519
Stray Kids,2019-07-01,654659,12963032,18989
Winner,2019-07-01,46013,482272,1266
GFRIEND,2019-07-01,777399,33661321,103632
Sulli,2019-06-29,1266966,21237272,467644
Eun Jiwon,2019-06-27,212588,13336135,12711
Lana,2019-06-27,153531,2222375,21104
Euijin,2019-06-26,26262,223705,1259
MAP6,2019-06-26,1323,34979,126
(G)I-dle,2019-06-26,694350,26485304,21202
Lusty,2019-06-25,7222,106364,464
GOT7,2019-06-25,53204,674384,2012
Chungha,2019-06-24,1358594,74183711,34493
N.Flying,2019-06-22,12717,308486,566
MONSTA X,2019-06-21,1511868,53903404,77213
Zelo,2019-06-20,68128,987202,4723
N.Tic,2019-06-19,5397,44936,561
Stray Kids,2019-06-19,2113933,72403042,128058
Red Velvet,2019-06-19,2846833,104165928,227473
Leo,2019-06-18,65861,1080814,5143
Yesung,2019-06-18,262263,4608244,30812
BZ-Boys,2019-06-17,5096,46024,630
SF9,2019-06-17,100879,1847556,7904
Somi,2019-06-13,3106144,107996492,127402
IZ*One,2019-06-12,379524,16473352,29897
Bibi,2019-06-12,163302,7302500,2887
Oh My Girl,2019-06-12,48392,2878211,1486
Noir,2019-06-11,93880,1190684,4758
MONSTA X,2019-06-11,96103,1420020,2777
Twice,2019-06-11,1983974,134451070,110564
Twice,2019-06-11,1038765,59170797,45242
Ong Seung Wu,2019-06-11,392281,12094797,17452
ATEEZ,2019-06-10,657205,26563831,29770
ATEEZ,2019-06-10,1523188,76858778,75805
SAAY,2019-06-07,137367,2042536,4377
TXT,2019-06-05,1310906,10431293,57350
BoA,2019-06-04,83243,1554961,3312
fromis_9,2019-06-04,519542,22109407,22701
Teen Top,2019-06-04,76134,1168260,4087
WJSN,2019-06-04,124941,7522206,13349
Lee Hi,2019-05-30,1778233,68885506,66654
CLC,2019-05-29,685473,23501084,30466
EXID,2019-05-29,60555,779619,3797
Giant Pink,2019-05-28,130113,1625382,4417
Masc,2019-05-26,21104,216795,2071
MASC,2019-05-26,21104,216794,2071
Berry Good,2019-05-25,31446,991912,5570
NCT 127,2019-05-24,1539876,54144810,131579
IZ,2019-05-23,14745,70214,2034
Ab6ix,2019-05-22,638323,13893611,31696
Cherry Bullet,2019-05-22,25498,530196,1296
3Ye,2019-05-21,120783,2447144,3007
ATEEZ,2019-05-20,417577,11467047,14904
GOT7,2019-05-20,1628726,60263371,262855
Lovelyz,2019-05-20,56289,3717676,5488
Onewe,2019-05-17,36651,571672,1372
A.C.E,2019-05-16,567546,18269662,42736
Ladies' Code,2019-05-16,61146,801166,4319
Bvndit,2019-05-15,36598,904870,876
EXID,2019-05-15,956593,31968605,36876
Onewe,2019-05-15,52607,831216,2125
Winner,2019-05-15,888721,27581473,40175
Weki Meki,2019-05-14,426390,13189026,14741
Onewe,2019-05-13,69406,1353298,4308
Cherry Bullet,2019-05-10,534,13719,45
N.Flying,2019-05-09,25545,276863,1131
Momoland,2019-05-07,122338,3133290,11974
Jenyer,2019-05-04,7673,292312,564
PIERCE,2019-05-03,7226,656646,0
Golden Child,2019-05-02,55588,1140044,6420
Park Bom,2019-05-02,56539,732749,3860
A.C.E,2019-05-01,63856,633088,5269
Kim Donghan,2019-05-01,32114,294607,1667
High School,2019-04-30,16188,144713,1955
Gray,2019-04-30,155881,3990905,4256
Spectrum,2019-04-29,43522,397842,2217
NU'EST,2019-04-29,692154,24407673,45354
A Train To Autumn,2019-04-29,4216,68701,295
GeeGu,2019-04-29,46985,687946,2144
Station,2019-04-28,63,3299,7
The Boyz,2019-04-28,293659,14330957,12098
Eyedi,2019-04-26,29173,1060043,2042
Destiny,2019-04-26,1514,30424,113
Ab6ix,2019-04-25,598320,10108564,22751
Newkidd,2019-04-25,25088,145779,1845
TXT,2019-04-24,4303441,108566847,194976
Verivery,2019-04-24,30745,867835,1845
N.Flying,2019-04-24,17746,240699,1236
Son Dongwoon,2019-04-22,13058,133165,1001
Twice,2019-04-22,6285423,609137548,770060
Pentagon,2019-04-22,51882,1007752,3956
Target,2019-04-21,37773,386286,2349
Target,2019-04-21,37773,386286,2349
ENOi,2019-04-19,28106,1271344,2602
Apink,2019-04-19,75365,1645356,3812
Z-Stars,2019-04-19,20451,250199,1963
N.Flying,2019-04-18,9868,221649,445
Youngjae,2019-04-18,46651,516085,2896
Lee Gikwang,2019-04-18,18588,217630,890
Kisum,2019-04-17,11887,364026,313
Stray Kids,2019-04-15,664049,18053222,22465
Seongri,2019-04-14,2396,94439,323
Super Junior-D&E,2019-04-14,382100,7639511,25691
1THE9,2019-04-12,123215,1535479,6928
BTS,2019-04-12,28333690,1732339433,6469703
Greatguys,2019-04-11,16994,207793,1160
N.Flying,2019-04-11,20704,515896,893
BVNDIT,2019-04-11,143074,2451559,5451
(G)I-dle,2019-04-11,354276,28800340,9551
1THE9,2019-04-10,31634,323114,1226
